nm,n,k
300,1.83348503,1.88271103
305,1.86235754,1.87070409
310,1.88511918,1.85468915
315,1.90112621,1.83608216
320,1.91012494,1.81643078
325,1.91228394,1.79729228
330,1.90818157,1.78010432
335,1.89874935,1.7660671
340,1.88517979,1.75605272
345,1.86881219,1.75055197
350,1.851012,1.74966199
355,1.83305822,1.75311235
360,1.81605072,1.76032208
365,1.80084492,1.77047734
370,1.78801665,1.78261786
375,1.77785533,1.79572134
380,1.77037998,1.80877758
385,1.76537073,1.82084747
390,1.76240875,1.83110587
395,1.76091853,1.83886967
400,1.7602089,1.84361401
405,1.75951074,1.84497951
410,1.75801104,1.84277342
415,1.75488346,1.83696618
420,1.74931614,1.8276845
425,1.74053736,1.81520134
430,1.72783975,1.79992238
435,1.71060447,1.78236791
440,1.68833004,1.76314529
445,1.66070125,1.74287323
450,1.6272271,1.72179593
455,1.58703917,1.70093028
460,1.53988697,1.68148966
465,1.4857327,1.66465736
470,1.42472134,1.65163672
475,1.35719725,1.64365794
480,1.28373975,1.64196465
485,1.20520981,1.64777475
490,1.12279505,1.66220496
495,1.0380293,1.68615307
500,0.952754402,1.72014868
505,0.868997452,1.76420983
510,0.788768095,1.81776348
515,0.71382507,1.87967726
520,0.645486653,1.94840368
525,0.584539358,2.02218594
530,0.53124962,2.099258
535,0.485443921,2.17799414
540,0.446615027,2.2569983
545,0.414025824,2.33514541
550,0.386799444,2.41159219
555,0.363994853,2.48577001
560,0.344670531,2.55736634
565,0.32793825,2.62629734
570,0.313007216,2.69267246
575,0.29921744,2.75675221
580,0.286060789,2.8189012
585,0.273188633,2.87953975
590,0.260406156,2.93909783
595,0.247654842,2.99797518
600,0.234986003,3.05651075
605,0.222529112,3.11496325
610,0.210459037,3.17350317
615,0.198965825,3.23221498
620,0.188229819,3.29110735
625,0.178403623,3.35012839
630,0.169601262,3.40918307
635,0.161893881,3.46815039
640,0.155310698,3.52689836
645,0.149843658,3.5852958
650,0.145454258,3.6432204
655,0.142081257,3.70056266
660,0.139648321,3.75722517
665,0.138071177,3.81311127
670,0.137193746,3.86807114
675,0.136743017,3.92216863
680,0.136647267,3.97551104
685,0.136852474,4.0281533
690,0.137310225,4.08014032
695,0.13797807,4.13151344
700,0.138819539,4.18231208
705,0.139803861,4.23257406
710,0.140905485,4.28233543
715,0.142103486,4.33163029
720,0.143380937,4.38049059
725,0.144724289,4.42894602
730,0.1461228,4.477024
735,0.147568015,4.52474973
740,0.149053324,4.57214628
745,0.150573588,4.6192347
750,0.15212482,4.6660342
755,0.153703937,4.7125623
760,0.155308558,4.75883498
765,0.156936834,4.80486683
770,0.158587333,4.85067121
775,0.160258934,4.89626037
780,0.161950754,4.94164557
785,0.163662094,4.98683718
790,0.165392392,5.03184478
795,0.167141191,5.07667725
800,0.168908114,5.12134284
805,0.170692847,5.16584922
810,0.172495125,5.21020354
815,0.17431472,5.25441252
820,0.176151433,5.29848242
825,0.178005093,5.34241915
830,0.179875544,5.38622824
835,0.181762652,5.42991492
840,0.183666293,5.47348414
845,0.185586357,5.51694055
850,0.187522744,5.56028858
855,0.189475363,5.60353241
860,0.191444131,5.64667602
865,0.193428974,5.68972319
870,0.195429824,5.73267752
875,0.197446616,5.77554242
880,0.199479296,5.81832118
885,0.201527812,5.8610169
890,0.203592116,5.90363256
895,0.205672167,5.94617101
900,0.207767926,5.98863498
905,0.20987936,6.03102707
910,0.212006437,6.07334979
915,0.214149131,6.11560553
920,0.216307418,6.1577966
925,0.218481276,6.1999252
930,0.220670688,6.24199347
935,0.222875639,6.28400345
940,0.225096115,6.3259571
945,0.227332107,6.36785631
950,0.229583606,6.40970292
955,0.231850606,6.45149868
960,0.234133104,6.49324529
965,0.236431098,6.53494438
970,0.238744587,6.57659754
975,0.241073574,6.61820629
980,0.243418062,6.6597721
985,0.245778056,6.70129642
990,0.248153564,6.74278061
995,0.250544593,6.78422602
1000,0.252951152,6.82563393
